None,,arfA,arfA,arfA,mscL,mscL,mscL,arfA,arfA,arfA,mscL,mscL,mscL,common,common
Enterobacter cloacae complex sp. GN04363,1870955,A0A0X4EGH4,A0A0X4EGH4_9ENTR,KUQ80797.1,A0A0X4EGQ8,A0A0X4EGQ8_9ENTR,KUQ80798.1,16493.0,16708.0,False,16709.0,17119.0,True,-1,0.9
Enterobacter cloacae complex sp. GN04787,1820019,A0A161ZXC9,A0A161ZXC9_9ENTR,KZP61345.1,A0A167HE10,A0A167HE10_9ENTR,KZP61346.1,16450.0,16665.0,False,16666.0,17076.0,True,-1,0.9
Enterobacter cloacae complex sp. GN06232,1820023,A0A162DTS5,A0A162DTS5_9ENTR,KZR32994.1,A0A162SU58,A0A162SU58_9ENTR,KZR32995.1,16456.0,16671.0,False,16672.0,17085.0,True,-1,0.9
Enterobacter cloacae complex sp. SMART_763,1870951,A0A0W2HVT1,A0A0W2HVT1_9ENTR,KTI31316.1,A0A0F0XJE0,A0A0F0XJE0_9ENTR,KTI31317.1,16498.0,16713.0,False,16714.0,17124.0,True,-1,0.9
Enterobacter cloacae subsp. cloacae,336306,A0A0F0T0L3,A0A0F0T0L3_ENTCL,ORC25155.1,A0A1X0LRX6,A0A1X0LRX6_ENTCL,ORC25156.1,16554.0,16769.0,False,16766.0,17176.0,True,3,0.9
Enterobacter cloacae subsp. cloacae (strain ATCC 13047 / DSM 30054 / NBRC 13535 / NCDC 279-56),716541,A0A0H3CQF9,A0A0H3CQF9_ENTCC,ADF64196.1,A0A0H3CU81,A0A0H3CU81_ENTCC,ADF64195.1,4799754.0,4799969.0,True,4799347.0,4799757.0,False,3,0.9
Enterobacter hormaechei ATCC 49162,888063,F5S2N4,F5S2N4_9ENTR,EGK57513.1,F5S2N3,F5S2N3_9ENTR,EGK57512.1,9449.0,9667.0,True,9035.0,9448.0,False,-1,0.9
Enterobacter hormaechei subsp. hoffmannii UCICRE 3,1329852,A0A0M2BVV9,A0A0M2BVV9_9ENTR,ESM12877.1,A0A0M2BW21,A0A0M2BW21_9ENTR,ESM12876.1,11932.0,12147.0,True,11518.0,11931.0,False,-1,0.9
Enterobacter hormaechei subsp. oharae,301102,A0A0W2YX87,A0A0W2YX87_9ENTR,KTK27679.1,A0A0W2G7F2,A0A0W2G7F2_9ENTR,KTK27678.1,9623.0,9838.0,True,9209.0,9622.0,False,-1,0.9
Enterobacter hormaechei subsp. steigerwaltii,299766,A0A0D9H941,A0A0D9H941_9ENTR,KTJ26876.1,A0A0E1JIQ5,A0A0E1JIQ5_9ENTR,KTJ26877.1,16458.0,16673.0,False,16674.0,17087.0,True,-1,0.9
Enterobacter kobei,208224,A0A242VRI9,A0A242VRI9_9ENTR,OTW34344.1,A0A242VP68,A0A242VP68_9ENTR,OTW34343.1,9483.0,9698.0,True,9072.0,9482.0,False,-1,0.9
Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC),585056,B7NDR3,B7NDR3_ECOLU,CAR14913.1,B7NDR2,MSCL_ECOLU,CAR14912.1,3884690.0,3884908.0,True,3884283.0,3884693.0,False,3,0.9
Enterobacter sp. CC120223-11,1378073,A0A285L848,A0A285L848_9ENTR,SNY80237.1,A0A285L5J0,A0A285L5J0_9ENTR,SNY80239.1,16894.0,17109.0,False,17110.0,17520.0,True,-1,0.9
Enterobacter sp. Crenshaw,1977566,A0A2I6KFX9,A0A2I6KFX9_9ENTR,AUM05410.1,A0A2I6KFW7,A0A2I6KFW7_9ENTR,AUM05409.1,4201583.0,4201798.0,True,4201172.0,4201582.0,False,-1,0.9
Enterobacter asburiae (strain LF7a),640513,G2S1E1,G2S1E1_ENTAL,AEN66713.1,G2S1E0,G2S1E0_ENTAL,AEN66712.1,4296552.0,4296767.0,True,4296141.0,4296551.0,False,-1,0.9
Enterobacter sp. DC4,1395580,W7NI57,W7NI57_9ENTR,EWG66014.1,W7N7C4,W7N7C4_9ENTR,EWG66015.1,16549.0,16791.0,False,16765.0,17175.0,True,26,0.9
Enterobacter bugandensis,881260,A0A2J7RYW8,A0A2J7RYW8_9ENTR,PNF55498.1,A0A2J7SSR7,A0A2J7SSR7_9ENTR,PNF55499.1,2749822.0,2750037.0,False,2750038.0,2750448.0,True,-1,0.9
Enterobacter cancerogenus,69218,A0A1V6M463,A0A1V6M463_9ENTR,OQD47202.1,A0A1V6M486,A0A1V6M486_9ENTR,OQD47203.1,28319.0,28534.0,False,28535.0,28945.0,True,-1,0.9
Enterobacteriaceae bacterium S05,2052938,A0A2S0VGH9,A0A2S0VGH9_9ENTR,AWB63308.1,A0A2S0VGH6,A0A2S0VGH6_9ENTR,AWB63309.1,3581939.0,3582217.0,False,3582153.0,3582566.0,True,64,0.9
Enterobacteriaceae bacterium JKS000234,1938870,A0A286BUN8,A0A286BUN8_9ENTR,SOD37863.1,A0A286BUR0,A0A286BUR0_9ENTR,SOD37864.1,2321261.0,2321458.0,False,2321495.0,2321908.0,True,-37,0.9
Enterobacteriaceae bacterium ENNIH2,1920109,A0A2I8QKK3,A0A2I8QKK3_9ENTR,AUV06722.1,A0A2I8QKD2,A0A2I8QKD2_9ENTR,AUV06723.1,1801891.0,1802106.0,False,1802107.0,1802520.0,True,-1,0.9
Enterobacteriaceae bacterium ENNIH1,2066051,A0A2I8Q0R8,A0A2I8Q0R8_9ENTR,AUU99822.1,A0A2I8Q0N5,A0A2I8Q0N5_9ENTR,AUU99821.1,355911.0,356126.0,True,355497.0,355910.0,False,-1,0.9
Enterobacteriaceae bacterium BP-1,2022662,A0A2P5GHK4,A0A2P5GHK4_9ENTR,POP41983.1,A0A2P5GHL7,A0A2P5GHL7_9ENTR,POP41984.1,19040.0,19258.0,False,19255.0,19668.0,True,3,0.9
Enterobacteriaceae bacterium 9_2_54FAA,469613,E5YLT1,E5YLT1_9ENTR,EFV38908.1,E5YLT0,E5YLT0_9ENTR,EFV38907.1,1367216.0,1367392.0,False,1367480.0,1367887.0,True,-88,0.9
Enterobacteriaceae bacterium (strain FGI 57),693444,L0LXZ4,L0LXZ4_ENTBF,AGB76478.1,L0LXX5,L0LXX5_ENTBF,AGB76479.1,421006.0,421221.0,False,421222.0,421632.0,True,-1,0.9
Enterobacter cancerogenus ATCC 35316,500639,D2ZLC1,D2ZLC1_9ENTR,EFC53878.1,D2ZLC0,D2ZLC0_9ENTR,EFC53877.1,9774.0,9989.0,True,9360.0,9773.0,False,-1,0.9
Enterobacter sp. ku-bf2,1888167,A0A1E5MUL4,A0A1E5MUL4_9ENTR,OEI72341.1,A0A1E5MUR2,A0A1E5MUR2_9ENTR,OEI72342.1,16735.0,16977.0,False,16951.0,17361.0,True,26,0.9
Enterobacter sp. R4-368,1166130,R9VNZ0,R9VNZ0_9ENTR,AGN86006.1,R9VRF3,R9VRF3_9ENTR,AGN86005.1,2548251.0,2548463.0,True,2547841.0,2548254.0,False,3,0.9
Enterobacter sp. PN108E5IIB,2041080,A0A2T9UUF4,A0A2T9UUF4_9ENTR,PVU46971.1,A0A2T9UUH0,A0A2T9UUH0_9ENTR,PVU46972.1,16510.0,16725.0,False,16726.0,17136.0,True,-1,0.9
Enterobacter sp. NFR05,1566259,A0A1U6JM15,A0A1U6JM15_9ENTR,SLK21319.1,A0A1U6JLZ4,A0A1U6JLZ4_9ENTR,SLK21316.1,9768.0,9983.0,True,9354.0,9767.0,False,-1,0.9
Enterobacter sp. NFIX03,1566257,A0A1K2ENS7,A0A1K2ENS7_9ENTR,SFY37067.1,A0A1K2EPT0,A0A1K2EPT0_9ENTR,SFY37070.1,16805.0,17017.0,False,17018.0,17431.0,True,-1,0.9
Enterobacter sp. MGH 24,1329828,V3PQG3,V3PQG3_9ENTR,ESN14912.1,V3PUK7,V3PUK7_9ENTR,ESN14911.1,14952.0,15167.0,True,14541.0,14951.0,False,-1,0.9
Enterobacter sp. MGH 14,1329823,A0A0E2MJR2,A0A0E2MJR2_9ENTR,ERP00566.1,A0A0E2M574,A0A0E2M574_9ENTR,ERP00565.1,290461.0,290676.0,True,290047.0,290460.0,False,-1,0.9
Enterobacter sp. KINAN-G,1535203,A0A2H6KR74,A0A2H6KR74_9ENTR,GBE70307.1,A0A2H6KR90,A0A2H6KR90_9ENTR,GBE70306.1,9469.0,9684.0,True,9058.0,9468.0,False,-1,0.9
Enterobacter cloacae,550,A0A145L714,A0A145L714_ENTCL,OAE45278.1,A0A0A6EX78,A0A0A6EX78_ENTCL,OAE45277.1,9676.0,9891.0,True,9262.0,9675.0,False,-1,0.9
Enterobacter cloacae EcWSU1,1045856,G8LHD0,G8LHD0_ENTCL,AEW75521.1,G8LHC9,G8LHC9_ENTCL,AEW75520.1,4261222.0,4261437.0,True,4260808.0,4261221.0,False,-1,0.9
Enterobacter sp. HN503E2II,2041079,A0A2T9UJ92,A0A2T9UJ92_9ENTR,PVU43406.1,A0A2T9UJ88,A0A2T9UJ88_9ENTR,PVU43407.1,16510.0,16725.0,False,16726.0,17136.0,True,-1,0.9
Enterobacter sp. GN02600,1659714,A0A0J0IP27,A0A0J0IP27_9ENTR,KLQ19972.1,A0A0J0ILI7,A0A0J0ILI7_9ENTR,KLQ19973.1,28711.0,28929.0,False,28926.0,29339.0,True,3,0.9
Enterobacter cloacae P101,1354030,W0BJR9,W0BJR9_ENTCL,AHE68961.1,W0BJY8,W0BJY8_ENTCL,AHE68962.1,536496.0,536711.0,False,536712.0,537125.0,True,-1,0.9
Enterobacter sp. FY-07,1692238,A0A127KXC1,A0A127KXC1_9ENTR,AMO46927.1,A0A127KXD4,A0A127KXD4_9ENTR,AMO46928.1,512932.0,513144.0,False,513141.0,513566.0,True,3,0.9
Enterobacter sp. FS01,2109729,A0A2T3BZS9,A0A2T3BZS9_9ENTR,PSS44582.1,A0A2T3BZT4,A0A2T3BZT4_9ENTR,PSS44581.1,9580.0,9825.0,True,9196.0,9612.0,False,32,0.9
Citrobacter sp. 50677481,1736699,A0A0V9JGB9,A0A0V9JGB9_9ENTR,KSY27594.1,A0A0V9JGC2,A0A0V9JGC2_9ENTR,KSY27593.1,9542.0,9760.0,True,9132.0,9545.0,False,3,0.9
Citrobacter sp. MGH109,1686382,A0A0J1MND3,A0A0J1MND3_9ENTR,KLV76137.1,A0A0J1MQ63,A0A0J1MQ63_9ENTR,KLV76138.1,459504.0,459722.0,False,459719.0,460132.0,True,3,0.9
Escherichia coli B088,550672,D6I1Y2,D6I1Y2_ECOLX,EFE61167.2,D6I1Y1,D6I1Y1_ECOLX,EFE61166.2,9687.0,9905.0,True,9280.0,9690.0,False,3,0.9
Citrobacter freundii complex sp. CFNIH2,2066049,A0A2K9PEE0,A0A2K9PEE0_9ENTR,AUO66353.1,A0A2K9PEA6,A0A2K9PEA6_9ENTR,AUO66352.1,3565088.0,3565306.0,True,3564681.0,3565091.0,False,3,0.9
Escherichia coli M863,656420,E9YV33,E9YV33_ECOLX,EGB61688.1,E9YV32,E9YV32_ECOLX,EGB61687.1,9923.0,10141.0,True,9516.0,9926.0,False,3,0.9
Escherichia coli M8,1392854,A0A1S6TGF6,A0A1S6TGF6_ECOLX,AQW74973.1,A0A1S6TGE5,A0A1S6TGE5_ECOLX,AQW74972.1,3875080.0,3875298.0,True,3874673.0,3875083.0,False,3,0.9
Escherichia coli M718,656419,F4TL14,F4TL14_ECOLX,EGI18977.1,F4TL13,F4TL13_ECOLX,EGI18976.1,9858.0,10076.0,True,9451.0,9861.0,False,3,0.9
Escherichia coli MS 85-1,679202,E6BI40,E6BI40_ECOLX,EFU35843.1,E6BI39,E6BI39_ECOLX,EFU35842.1,9844.0,10062.0,True,9437.0,9847.0,False,3,0.9
Brenneria sp. EniD312,598467,G7LVK5,G7LVK5_9GAMM,EHD19913.1,G7LVK6,G7LVK6_9GAMM,EHD19914.1,499147.0,499392.0,False,499394.0,499810.0,True,-2,0.9
Escherichia coli M114,656416,A0A0K9TDY7,A0A0K9TDY7_ECOLX,KNA42171.1,A0A0K9TFS4,A0A0K9TFS4_ECOLX,KNA42172.1,29816.0,30034.0,False,30031.0,30441.0,True,3,0.9
Escherichia coli NCCP15648,1200752,A0A222QQW9,A0A222QQW9_ECOLX,ASQ68898.1,A0A222QQX3,A0A222QQX3_ECOLX,ASQ68897.1,4050517.0,4050735.0,True,4050110.0,4050520.0,False,3,0.9
Buttiauxella brennerae ATCC 51605,1354251,A0A1B7IJ28,A0A1B7IJ28_9ENTR,OAT29484.1,A0A1B7IJ68,A0A1B7IJ68_9ENTR,OAT29483.1,9502.0,9744.0,True,9114.0,9527.0,False,25,0.9
Escherichia coli O103:H2 (strain 12009 / EHEC),585395,C8TXS1,C8TXS1_ECO10,BAI32733.1,C8TXS0,C8TXS0_ECO10,BAI32732.1,4115203.0,4115421.0,True,4114796.0,4115206.0,False,3,0.9
Buttiauxella ferragutiae ATCC 51602,1354252,A0A1B7IJB1,A0A1B7IJB1_9ENTR,OAT29561.1,A0A1B7IJA6,A0A1B7IJA6_9ENTR,OAT29562.1,16422.0,16685.0,False,16639.0,17052.0,True,46,0.9
Cedecea lapagei,158823,A0A2N0CQY8,A0A2N0CQY8_9ENTR,PKA30354.1,A0A2N0CQY3,A0A2N0CQY3_9ENTR,PKA30355.1,2139641.0,2139856.0,False,2139857.0,2140270.0,True,-1,0.9
Cedecea neteri,158822,A0A291DSW6,A0A291DSW6_9ENTR,ATF90809.1,A0A089UMT4,A0A089UMT4_9ENTR,ATF90810.1,246371.0,246655.0,False,246591.0,247004.0,True,64,0.9
Escherichia coli LAU-EC10,1417796,V8K2G2,V8K2G2_ECOLX,ETE19586.1,V8K223,V8K223_ECOLX,ETE19585.1,10059.0,10277.0,True,9652.0,10062.0,False,3,0.9
Cedecea sp. NFIX57,1566286,A0A1X7M702,A0A1X7M702_9ENTR,SMG61273.1,A0A1X7M516,A0A1X7M516_9ENTR,SMG61278.1,16633.0,16917.0,False,16853.0,17266.0,True,64,0.9
Chania multitudinisentens RB-25,1441930,W0L7W7,W0L7W7_9GAMM,AHG19893.1,W0LCC3,W0LCC3_9GAMM,AHG19892.1,1396106.0,1396312.0,False,1396365.0,1396781.0,True,-53,0.9
Citrobacter amalonaticus,35703,A0A2S4RQ63,A0A2S4RQ63_CITAM,POU59946.1,A0A2S4RQ69,A0A2S4RQ69_CITAM,POU59945.1,10009.0,10227.0,True,9599.0,10012.0,False,3,0.9
Citrobacter amalonaticus Y19,1261127,A0A0F6TWY8,A0A0F6TWY8_CITAM,AKE60322.1,A0A0F6TXB8,A0A0F6TXB8_CITAM,AKE60321.1,3930688.0,3930906.0,True,3930281.0,3930691.0,False,3,0.9
Citrobacter braakii,57706,A0A1R0FPJ6,A0A1R0FPJ6_CITBR,OQM39377.1,A0A1R0FPI0,A0A1R0FPI0_CITBR,OQM39378.1,28761.0,28979.0,False,28976.0,29389.0,True,3,0.9
Citrobacter farmeri,67824,A0A223JL73,A0A223JL73_9ENTR,AST77978.1,A0A223JL75,A0A223JL75_9ENTR,AST77979.1,436855.0,437073.0,False,437070.0,437480.0,True,3,0.9
Escherichia coli MS 84-1,749533,D7XKX9,D7XKX9_ECOLX,EFJ87951.1,D7XKX8,D7XKX8_ECOLX,EFJ87950.1,9465.0,9683.0,True,9058.0,9468.0,False,3,0.9
Escherichia coli MS 69-1,749531,D7Z9I2,D7Z9I2_ECOLX,EFJ83046.1,D7Z9I3,D7Z9I3_ECOLX,EFJ83047.1,934.0,1152.0,False,1149.0,1559.0,True,3,0.9
Escherichia coli MS 198-1,749549,D7X2X3,D7X2X3_ECOLX,EFJ75386.1,D7X2X2,D7X2X2_ECOLX,EFJ75385.1,9470.0,9688.0,True,9063.0,9473.0,False,3,0.9
Escherichia coli O128:H2 str. 2011C-3317,1446581,A0A070FD35,A0A070FD35_ECOLX,KDV63348.1,A0A070FLJ5,A0A070FLJ5_ECOLX,KDV63349.1,2269049.0,2269267.0,False,2269264.0,2269674.0,True,3,0.9
Escherichia coli O145:NM str. 2010C-3526,1446596,A0A025C3Y3,A0A025C3Y3_ECOLX,EYV10382.1,A0A025C4S3,A0A025C4S3_ECOLX,EYV10383.1,16454.0,16672.0,False,16669.0,17079.0,True,3,0.9
Escherichia coli O157,1045010,A0A1Z3UYT5,A0A1Z3UYT5_ECOLX,ASE48448.1,A0A1Z3UYU2,A0A1Z3UYU2_ECOLX,ASE48449.1,3018081.0,3018299.0,False,3018296.0,3018706.0,True,3,0.9
Arsenophonus sp. ENCA,1987579,A0A2A2GWI3,A0A2A2GWI3_9GAMM,PAV01502.1,A0A2A2GWL0,A0A2A2GWL0_9GAMM,PAV01501.1,810.0,1010.0,True,408.0,803.0,False,-7,0.9
Escherichia coli MS 117-3,749539,E9TI55,E9TI55_ECOLX,EGB87071.1,E9TI56,E9TI56_ECOLX,EGB87072.1,965.0,1183.0,False,1180.0,1590.0,True,3,0.9
Escherichia coli O145:H28 str. RM12581,1248823,A0A023Z3G1,A0A023Z3G1_ECOLX,AHY72723.1,A0A023Z3D3,A0A023Z3D3_ECOLX,AHY72722.1,4146982.0,4147200.0,True,4146575.0,4146985.0,False,3,0.9
Atlantibacter hermannii NBRC 105704,1115512,H5V7S1,H5V7S1_ATLHE,GAB54029.1,H5V7S0,H5V7S0_ATLHE,GAB54028.1,9491.0,9706.0,True,9077.0,9490.0,False,-1,0.9
Escherichia coli O157:H7 str. SS52,1330457,A0A0F6FD00,A0A0F6FD00_ECO57,AJA28290.1,A0A0F6FCZ9,A0A0F6FCZ9_ECO57,AJA28289.1,4193066.0,4193284.0,True,4192659.0,4193069.0,False,3,0.9
Escherichia coli MS 115-1,749537,D7Y3B3,D7Y3B3_ECOLX,EFJ97837.1,D7Y3B2,D7Y3B2_ECOLX,EFJ97836.1,9468.0,9686.0,True,9061.0,9471.0,False,3,0.9
Escherichia coli MS 119-7,679206,D8E836,D8E836_ECOLX,EFK45740.1,D8E837,D8E837_ECOLX,EFK45741.1,92165.0,92383.0,False,92380.0,92790.0,True,3,0.9
Brenneria sp. CFCC 11842,2173106,A0A2U1TK84,A0A2U1TK84_9GAMM,PWC09816.1,A0A2U1TK80,A0A2U1TK80_9GAMM,PWC09817.1,15695.0,15952.0,False,15942.0,16358.0,True,10,0.9
Escherichia coli MS 124-1,679205,E1JAY7,E1JAY7_ECOLX,EFK66956.1,E1JAY6,E1JAY6_ECOLX,EFK66955.1,9663.0,9881.0,True,9256.0,9666.0,False,3,0.9
Escherichia coli O127:H6 (strain E2348/69 / EPEC),574521,B7UK15,B7UK15_ECO27,CAS11102.1,B7UK14,MSCL_ECO27,CAS11101.1,3707584.0,3707802.0,True,3707177.0,3707587.0,False,3,0.9
Escherichia coli O127:H6,168807,A0A2D0NVL6,A0A2D0NVL6_ECOLX,SLM08401.1,A0A2D0NVK8,A0A2D0NVK8_ECOLX,SLM08400.1,3592026.0,3592244.0,True,3591619.0,3592029.0,False,3,0.9
Escherichia coli MS 145-7,679204,E1INN9,E1INN9_ECOLX,EFO58879.1,E1INN8,E1INN8_ECOLX,EFO58878.1,9659.0,9877.0,True,9252.0,9662.0,False,3,0.9
Brenneria goodwinii,1109412,A0A250BJI1,A0A250BJI1_9GAMM,ATA26408.1,A0A0G4JUQ7,A0A0G4JUQ7_9GAMM,ATA26409.1,4810706.0,4810906.0,False,4810997.0,4811395.0,True,-91,0.9
Brenneria nigrifluens,55210,A0A2U1UTU7,A0A2U1UTU7_9GAMM,PWC25087.1,A0A2U1UTV1,A0A2U1UTV1_9GAMM,PWC25086.1,9535.0,9780.0,True,9117.0,9533.0,False,-2,0.9
Brenneria roseae subsp. americana,1508507,A0A2U1TIZ4,A0A2U1TIZ4_9GAMM,PWC09383.1,A0A2U1TIZ9,A0A2U1TIZ9_9GAMM,PWC09384.1,15490.0,15759.0,False,15749.0,16165.0,True,10,0.9
Brenneria roseae subsp. roseae,1508506,A0A2U1TZH9,A0A2U1TZH9_9GAMM,PWC14816.1,A0A2U1TZH5,A0A2U1TZH5_9GAMM,PWC14817.1,15823.0,16092.0,False,16082.0,16498.0,True,10,0.9
Citrobacter freundii,546,A0A0D7LDD9,A0A0D7LDD9_CITFR,ASK01975.1,A0A0D7LFA0,A0A0D7LFA0_CITFR,ASK01976.1,3624378.0,3624596.0,False,3624593.0,3625006.0,True,3,0.9
Citrobacter freundii MGH 56,1439318,A0A064DB38,A0A064DB38_CITFR,KDF07829.1,A0A064D9R7,A0A064D9R7_CITFR,KDF07828.1,9435.0,9653.0,True,9025.0,9438.0,False,3,0.9
Escherichia coli O174:H8 str. 04-3038,1446704,A0A026V713,A0A026V713_ECOLX,EZA37636.1,A0A026V724,A0A026V724_ECOLX,EZA37637.1,169943.0,170161.0,False,170158.0,170568.0,True,3,0.9
Escherichia coli HVH 87 (4-5977630),1281024,T6LV50,T6LV50_ECOLX,EQQ01476.1,T6LDG2,T6LDG2_ECOLX,EQQ01475.1,14762.0,14980.0,True,14355.0,14765.0,False,3,0.9
Escherichia coli O111:NM str. K6722,1446533,A0A027T9P1,A0A027T9P1_ECOLX,EZD22076.1,A0A027TA15,A0A027TA15_ECOLX,EZD22075.1,9516.0,9734.0,True,9109.0,9519.0,False,3,0.9
Citrobacter freundii complex sp. CFNIH9,2077149,A0A2I8TFX9,A0A2I8TFX9_9ENTR,AUV41852.1,A0A2I8TFX4,A0A2I8TFX4_9ENTR,AUV41853.1,511230.0,511448.0,False,511445.0,511858.0,True,3,0.9
Citrobacter koseri (Citrobacter diversus),545,A0A078LP98,A0A078LP98_CITKO,CDZ86139.1,A0A078LQK2,A0A078LQK2_CITKO,CDZ86138.1,4383059.0,4383277.0,True,4382652.0,4383062.0,False,3,0.9
Escherichia coli O118:H16 str. 2009C-4446,1446549,A0A028E9S7,A0A028E9S7_ECOLX,EZE56594.1,A0A028E9K6,A0A028E9K6_ECOLX,EZE56593.1,9697.0,9915.0,True,9290.0,9700.0,False,3,0.9
Escherichia coli HVH 50 (4-2593475),1280998,V2RU70,V2RU70_ECOLX,ESK16582.1,V2RFI7,V2RFI7_ECOLX,ESK16583.1,183814.0,184032.0,False,184029.0,184439.0,True,3,0.9
Escherichia coli H736,656414,F4SQ18,F4SQ18_ECOLX,EGI08507.1,F4SQ17,F4SQ17_ECOLX,EGI08506.1,9925.0,10143.0,True,9518.0,9928.0,False,3,0.9
Escherichia coli H605,656410,A0A1X3KEM3,A0A1X3KEM3_ECOLX,OSL45745.1,A0A1X3KER8,A0A1X3KER8_ECOLX,OSL45744.1,10087.0,10305.0,True,9680.0,10090.0,False,3,0.9
Escherichia coli H591,656408,F4VJT2,F4VJT2_ECOLX,EGI43857.1,F4VJT1,F4VJT1_ECOLX,EGI43856.1,9823.0,10041.0,True,9416.0,9826.0,False,3,0.9
Escherichia coli H461,656403,A0A1X3K2T9,A0A1X3K2T9_ECOLX,OSL41547.1,A0A1X3K2W4,A0A1X3K2W4_ECOLX,OSL41546.1,9876.0,10094.0,True,9466.0,9879.0,False,3,0.9
Escherichia coli H386,656397,A0A1X3JB33,A0A1X3JB33_ECOLX,OSL03129.1,A0A1X3JBN1,A0A1X3JBN1_ECOLX,OSL03128.1,5535.0,5753.0,True,5128.0,5538.0,False,3,0.9
Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696),290338,A8AQI6,A8AQI6_CITK8,ABV15749.1,A8AQI5,MSCL_CITK8,ABV15748.1,4336793.0,4337011.0,True,4336386.0,4336796.0,False,3,0.9
Escherichia coli G3/10,1455601,A0A0A0FHN1,A0A0A0FHN1_ECOLX,KGM62010.1,A0A0A0FFT2,A0A0A0FFT2_ECOLX,KGM62011.1,487804.0,488022.0,False,488019.0,488429.0,True,3,0.9
Escherichia coli DORA_A_5_14_21,1403943,W1X517,W1X517_ECOLX,ETJ25388.1,W1X4Q3,W1X4Q3_ECOLX,ETJ25387.1,172.0,390.0,True,1.0,175.0,False,3,0.9
Citrobacter pasteurii,1563222,A0A0A1RTY5,A0A0A1RTY5_9ENTR,CEJ65330.1,A0A0A1RAZ1,A0A0A1RAZ1_9ENTR,CEJ65331.1,16580.0,16798.0,False,16795.0,17208.0,True,3,0.9
Escherichia coli D9,556266,F4NN13,F4NN13_ECOLX,EGJ07544.1,F4NN12,F4NN12_ECOLX,EGJ07543.1,9446.0,9664.0,True,9039.0,9449.0,False,3,0.9
Escherichia coli D6-113.11,1400022,A0A024KR02,A0A024KR02_ECOLX,CDU34511.1,A0A024KRZ7,A0A024KRZ7_ECOLX,CDU34510.1,9475.0,9693.0,True,9068.0,9478.0,False,3,0.9
Citrobacter rodentium (strain ICC168) (Citrobacter freundii biotype 4280),637910,D2TN96,D2TN96_CITRI,CBG91226.1,D2TN97,D2TN97_CITRI,CBG91227.1,4771807.0,4772025.0,False,4772022.0,4772435.0,True,3,0.9
Escherichia coli O121:H19 str. 2010C-3609,1446560,A0A0E2TIG5,A0A0E2TIG5_ECOLX,EYV06156.1,A0A0E2TZS2,A0A0E2TZS2_ECOLX,EYV06157.1,16430.0,16648.0,False,16645.0,17055.0,True,3,0.9
Escherichia coli B185,550676,D6IEJ1,D6IEJ1_ECOLX,EFF04271.2,D6IEJ0,D6IEJ0_ECOLX,EFF04270.2,9690.0,9908.0,True,9283.0,9693.0,False,3,0.9
Citrobacter freundii complex sp. CFNIH3,2077147,A0A2I8S130,A0A2I8S130_9ENTR,AUV24428.1,A0A2I8S398,A0A2I8S398_9ENTR,AUV24429.1,287214.0,287432.0,False,287429.0,287842.0,True,3,0.9
Aeromonas schubertii,652,A0A0W7TWD1,A0A0W7TWD1_9GAMM,KUE78139.1,A0A0W7TY86,A0A0W7TY86_9GAMM,KUE78813.1,88399.0,88614.0,True,116434.0,116844.0,False,-27820,0.9
Escherichia coli ISC11,1432557,W1G3T2,W1G3T2_ECOLX,CDL41302.1,W1G5Y4,W1G5Y4_ECOLX,CDL41301.1,10121.0,10339.0,True,9711.0,10124.0,False,3,0.9
Escherichia coli KTE10,1169330,L2VHP3,L2VHP3_ECOLX,ELC14067.1,L2VEZ9,L2VEZ9_ECOLX,ELC14066.1,9596.0,9814.0,True,9189.0,9599.0,False,3,0.9
Escherichia coli KTE75,1182682,L3PZ64,L3PZ64_ECOLX,ELE52592.1,L3PWR5,L3PWR5_ECOLX,ELE52591.1,14563.0,14781.0,True,14156.0,14566.0,False,3,0.9
Escherichia coli KTE73,1182680,S1EA26,S1EA26_ECOLX,EOV75221.1,S1EX48,S1EX48_ECOLX,EOV75220.1,9504.0,9722.0,True,9097.0,9507.0,False,3,0.9
Escherichia coli KTE66,1182673,L3NTV0,L3NTV0_ECOLX,ELE39341.1,L3NVU3,L3NVU3_ECOLX,ELE39340.1,9878.0,10096.0,True,9471.0,9881.0,False,3,0.9
Escherichia coli KTE64,1182671,S1D579,S1D579_ECOLX,EOV54293.1,S1CW79,S1CW79_ECOLX,EOV54292.1,11224.0,11442.0,True,10817.0,11227.0,False,3,0.9
Escherichia coli KTE38,1169355,S0YBD1,S0YBD1_ECOLX,EOV02124.1,S0YUL6,S0YUL6_ECOLX,EOV02123.1,14763.0,14981.0,True,14356.0,14766.0,False,3,0.9
Escherichia coli KTE37,1169354,S0XGW6,S0XGW6_ECOLX,EOU87816.1,S0X7V3,S0X7V3_ECOLX,EOU87815.1,11229.0,11447.0,True,10822.0,11232.0,False,3,0.9
Escherichia coli KTE20,1169339,S0VPT9,S0VPT9_ECOLX,EOU63477.1,S0VHJ9,S0VHJ9_ECOLX,EOU63476.1,14690.0,14908.0,True,14283.0,14693.0,False,3,0.9
Escherichia coli KTE193,1181739,L3C310,L3C310_ECOLX,ELC94775.1,L3C280,L3C280_ECOLX,ELC94774.1,201105.0,201323.0,True,200699.0,200992.0,False,-113,0.9
